fixture_id,league_id,season,date,home_team_id,away_team_id,home_team_name,away_team_name,goals_home,goals_away,score_p1_home,score_p1_away,score_p2_home,score_p2_away,score_p3_home,score_p3_away,score_ot_home,score_ot_away,score_pen_home,score_pen_away,status_short,created_at,reg_goals_home,reg_goals_away,target,home_elo,away_elo,elo_diff,home_rolling_goals,home_rolling_conceded,home_btts_rate,home_rest_days,away_rolling_goals,away_rolling_conceded,away_btts_rate,away_rest_days,form_diff,defensive_diff,btts_interaction,rest_diff
194185,146,2022,2022-09-10 15:00:00,248,239,Eisbaren Berlin,Grenoble,5,2,3,2,1,0,1,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,5,2,2,1486.2919947606663,1456.2919947606663,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194146,146,2022,2022-09-10 15:00:00,253,502,Munchen,Slovan Bratislava,5,1,0,0,4,1,1,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,5,1,2,1526.251478557935,1458.748521442065,67.50295711586978,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194215,146,2022,2022-09-10 16:00:00,507,249,HK Olimpija,Grizzly Wolfsburg,0,4,0,1,0,2,0,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,0,4,0,1456.2919947606663,1501.2919947606663,-45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194167,146,2022,2022-09-10 16:00:00,181,553,Tappara,Rapperswil,2,3,0,0,0,1,2,1,0,1,0,0,AOT,2026-01-02 16:14:47.584824,2,2,1,1541.251478557935,1473.748521442065,67.50295711586978,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
194155,146,2022,2022-09-10 17:45:00,555,180,Zug,TPS Turku,6,1,1,0,1,0,4,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,6,1,2,1528.7080052393337,1513.7080052393337,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
194170,146,2022,2022-09-11 12:35:00,256,1523,Straubing Tigers,Farjestad,5,2,1,1,3,1,1,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,5,2,2,1515.0,1542.4350396398456,-27.435039639845627,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194212,146,2022,2022-09-11 13:00:00,171,751,Ilves,Salzburg,1,2,0,1,0,0,1,0,0,0,3,4,AP,2026-01-02 16:14:47.584824,1,1,1,1471.2386115690294,1500.0557704814235,-28.817158912394007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194189,146,2022,2022-09-11 14:30:00,548,543,Davos,Skellefteå,2,5,1,2,1,0,0,3,0,0,0,0,FT,2026-01-02 16:14:47.584824,2,5,0,1541.251478557935,1502.4731884398543,38.77829011808058,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194194,146,2022,2022-09-11 15:00:00,592,135,Belfast,Trinec,3,2,1,0,1,0,0,2,0,0,4,3,AP,2026-01-02 16:14:47.584824,2,2,1,1458.748521442065,1497.5268115601457,-38.77829011808058,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0
194174,146,2022,2022-09-11 16:00:00,154,173,Aalborg,Jukurit,0,3,0,2,0,1,0,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,0,3,0,1482.5268115601457,1487.4731884398543,-4.946376879708623,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194158,146,2022,2022-09-11 16:00:00,754,355,Villach,Krakow,6,2,2,1,0,0,4,1,0,0,0,0,FT,2026-01-02 16:14:47.584824,6,2,2,1457.5649603601544,1485.0,-27.435039639845627,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194149,146,2022,2022-09-11 16:00:00,349,549,Stavanger,Fribourg,0,3,0,0,0,1,0,2,0,0,0,0,FT,2026-01-02 16:14:47.584824,0,3,0,1514.9442295185765,1513.7613884309706,1.1828410876059934,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
194200,146,2022,2022-09-11 16:35:00,538,134,Luleå,Sparta Prague,5,2,0,1,3,1,2,0,0,0,0,0,FT,2026-01-02 16:14:47.584824,5,2,2,1542.5268115601457,1487.4731884398543,55.05362312029138,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
325836,6,2022,2022-09-23 00:00:00,82,2047,Sorel-Tracy,Montcalm,3,4,2,1,0,2,1,1,0,0,0,0,FT,2026-01-02 16:16:38.977353,3,4,0,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
325845,142,2022,2022-09-23 13:00:00,167,1453,Valk 494,KHL Sisak,2,7,0,2,0,2,2,3,0,0,0,0,FT,2026-01-02 16:15:47.235128,2,7,0,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
325846,142,2022,2022-09-23 14:00:00,512,1532,Barcelona,Liege Bulldogs,0,7,0,3,0,1,0,3,0,0,0,0,FT,2026-01-02 16:15:47.235128,0,7,0,1500.0,1500.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
