api_name,csv_name,league,confidence
Sandhausen,Sandhausen,D2,100
Aalen,Aalen,D2,100
Hyde United,Hyde United,EC,100
Telford United,Telford United,EC,100
Dartford,Dartford,EC,100
Nuneaton Town,Nuneaton Town,EC,100
Woking,Woking,EC,100
Ajaccio GFCO,Ajaccio GFCO,F2,100
Niort,Niort,F2,100
Platanias,Platanias,G1,100
Veria,Veria,G1,100
Panthrakikos,Panthrakikos,G1,100
Spezia,Spezia,I2,100
Virtus Lanciano,Virtus Lanciano,I2,100
Ternana,Ternana,I2,100
Pro Vercelli,Pro Vercelli,I2,100
Zwolle,Zwolle,N1,100
Moreirense,Moreirense,P1,100
Estoril,Estoril,P1,100
Real Madrid B,Real Madrid B,SP2,100
Mirandes,Mirandes,SP2,100
Lugo,Lugo,SP2,100
Elazigspor,Elazigspor,T1,100
Akhisar Belediyespor,Akhisar Belediyespor,T1,100
Oostende,Oostende,B1,100
Salisbury,Salisbury,EC,100
Welling United,Welling United,EC,100
Halifax,Halifax,EC,100
Chester,Chester,EC,100
Creteil,Creteil,F2,100
CA Bastia,CA Bastia,F2,100
Nancy,Nancy,F2,100
Kallonis,Kallonis,G1,100
Apollon,Apollon,G1,100
Avellino,Avellino,I2,100
Latina,Latina,I2,100
Carpi,Carpi,I2,100
Trapani,Trapani,I2,100
GO Ahead Eagles,Go Ahead Eagles,N1,100
Cambuur,Cambuur,N1,100
Belenenses,Belenenses,P1,100
Arouca,Arouca,P1,100
Jaen,Jaen,SP2,100
Alaves,Alaves,SP2,100
Eibar,Eibar,SP2,100
Rizespor,Rizespor,T1,100
Erciyesspor,Erciyesspor,T1,100
Mouscron-Peruwelz,Mouscron-Peruwelz,B1,100
RB Leipzig,RB Leipzig,D2,100
Darmstadt,Darmstadt,D2,100
Heidenheim,Heidenheim,D2,100
Eastleigh,Eastleigh,EC,100
Dover Athletic,Dover Athletic,EC,100
Orleans,Orleans,F2,100
Niki Volos,Niki Volos,G1,100
Virtus Entella,Virtus Entella,I2,100
Perugia,Perugia,I2,100
Dordrecht,Dordrecht,N1,100
Boavista,Boavista,P1,100
Penafiel,Penafiel,P1,100
Leganes,Leganes,SP2,100
Llagostera,Llagostera,SP2,100
Balikesirspor,Balikesirspor,T1,100
Boreham Wood,Boreham Wood,EC,100
Bromley,Bromley,EC,100
Guiseley,Guiseley,EC,100
Paris FC,Paris FC,F2,100
Red Star,Red Star,F2,100
Bourg Peronnas,Bourg Peronnas,F2,100
Como,Como,I2,100
Salernitana,Salernitana,I2,100
Uniao Madeira,Uniao Madeira,P1,100
Tondela,Tondela,P1,100
Ath Bilbao B,Ath Bilbao B,SP2,100
Oviedo,Oviedo,SP2,100
Osmanlispor,Osmanlispor,T1,100
Mouscron,Mouscron,B1,100
Wurzburger Kickers,Wurzburger Kickers,D2,100
Maidstone,Maidstone,EC,100
North Ferriby,North Ferriby,EC,100
Solihull,Solihull,EC,100
Sutton,Sutton,EC,100
Strasbourg,Strasbourg,F2,100
Spal,Spal,I2,100
Benevento,Benevento,I2,100
Pisa,Pisa,I2,100
Sparta Rotterdam,Sparta Rotterdam,N1,100
Chaves,Chaves,P1,100
Edinburgh City,Edinburgh City,SC3,100
Cadiz,Cadiz,SP2,100
UCAM Murcia,UCAM Murcia,SP2,100
Reus Deportiu,Reus Deportiu,SP2,100
Sevilla B,Sevilla B,SP2,100
Alanyaspor,Alanyaspor,T1,100
Adanaspor,Adanaspor,T1,100
Antwerp,Antwerp,B1,100
Holstein Kiel,Holstein Kiel,D2,100
Fylde,Fylde,EC,100
Maidenhead,Maidenhead,EC,100
Quevilly Rouen,Quevilly Rouen,F2,100
Lamia,Lamia,G1,100
Cremonese,Cremonese,I2,100
Venezia,Venezia,I2,100
Foggia,Foggia,I2,100
Aves,Aves,P1,100
Leonesa,Leonesa,SP2,100
Lorca,Lorca,SP2,100
Goztep,Goztep,T1,100
Yeni Malatyaspor,Yeni Malatyaspor,T1,100
Magdeburg,Magdeburg,D2,100
Havant & Waterlooville,Havant & Waterlooville,EC,100
Salford,Salford,EC,100
Harrogate,Harrogate,EC,100
Beziers,Beziers,F2,100
OFI Crete,OFI Crete,G1,100
Cosenza,Cosenza,I2,100
For Sittard,For Sittard,N1,100
FC Emmen,FC Emmen,N1,100
Santa Clara,Santa Clara,P1,100
Extremadura UD,Extremadura UD,SP2,100
Rayo Majadahonda,Rayo Majadahonda,SP2,100
Erzurum BB,Erzurum BB,T1,100
Wehen,Wehen,D2,100
Chorley,Chorley,EC,100
Rodez,Rodez,F2,100
Chambly,Chambly,F2,100
Volos NFC,Volos NFC,G1,100
Pordenone,Pordenone,I2,100
Famalicao,Famalicao,P1,100
Cove Rangers,Cove Rangers,SC3,100
Fuenlabrada,Fuenlabrada,SP2,100
Gaziantep,Gaziantep,T1,100
Denizlispor,Denizlispor,T1,100
Beerschot VA,Beerschot VA,B1,100
Kings Lynn,Kings Lynn,EC,95
Weymouth,Weymouth,EC,100
Wealdstone,Wealdstone,EC,100
Dunkerque,Dunkerque,F2,100
Pau FC,Pau FC,F2,100
Monza,Monza,I2,100
Reggiana,Reggiana,I2,100
Farense,Farense,P1,100
Logrones,Logrones,SP2,100
Castellon,Castellon,SP2,100
Hatayspor,Hatayspor,T1,100
Karagumruk,Karagumruk,T1,100
Seraing,Seraing,B1,100
St. Gilloise,St. Gilloise,B1,100
Ionikos,Ionikos,G1,100
Alessandria,Alessandria,I2,100
Vizela,Vizela,P1,100
Kelty Hearts,Kelty Hearts,SC3,100
Sociedad B,Sociedad B,SP2,100
Burgos,Burgos,SP2,100
Amorebieta,Amorebieta,SP2,100
Ibiza,Ibiza,SP2,100
Giresunspor,Giresunspor,T1,100
Altay,Altay,T1,100
Dorking,Dorking,EC,100
Annecy,Annecy,F2,100
Sudtirol,Sudtirol,I2,100
Volendam,Volendam,N1,100
Casa Pia,Casa Pia,P1,100
FC Edinburgh,FC Edinburgh,SC2,100
Bonnyrigg Rose,Bonnyrigg Rose,SC3,100
Andorra,Andorra,SP2,100
Umraniyespor,Umraniyespor,T1,100
Istanbulspor,Istanbulspor,T1,100
RWD Molenbeek,RWD Molenbeek,B1,100
Elversberg,Elversberg,D2,100
Oxford City,Oxford City,EC,100
Concarneau,Concarneau,F2,100
Kifisia,Kifisia,G1,100
FeralpiSalo,FeralpiSalo,I2,100
Catanzaro,Catanzaro,I2,100
Lecco,Lecco,I2,100
Almere City,Almere City,N1,100
Estrela,Estrela,P1,100
Spartans,Spartans,SC3,100
Pendikspor,Pendikspor,T1,100
Dender,Dender,B1,100
Ulm,Ulm,D2,100
PreuÃen MÃ¼nster,PreuÃen MÃ¼nster,D2,96
Boston Utd,Boston Utd,EC,100
Martigues,Martigues,F2,100
Athens Kallithea,Athens Kallithea,G1,100
Mantova,Mantova,I2,100
Carrarese,Carrarese,I2,100
AVS,AVS,P1,100
Ceuta,Ceuta,SP2,100
Cultural Leonesa,Cultural Leonesa,SP2,100
Eyupspor,Eyupspor,T1,100
Bodrumspor,Bodrumspor,T1,100
RAAL La Louviere,RAAL La Louviere,B1,100
Truro,Truro,EC,100
Brackley Town,Brackley Town,EC,100
Telstar,Telstar,N1,100
Alverca,Alverca,P1,100
East Kilbride,East Kilbride,SC3,100
Kocaelispor,Kocaelispor,T1,100
